[NPM1]_WT,[NPM1]_Halo,[NPM1]_NFAST,[NPM1]_CFAST,Gamma,GVR
0.0,0.1,0.45,0.45,0.25,1.329
0.0,0.1,0.45,0.45,0.5,2.658
0.0,0.1,0.45,0.45,1.0,5.316
0.0,0.1,0.45,0.45,2.0,10.631
0.0,0.1,0.45,0.45,4.0,21.263
0.0,0.1,0.5,0.4,0.25,1.31
0.0,0.1,0.5,0.4,0.5,2.62
0.0,0.1,0.5,0.4,1.0,5.24
0.0,0.1,0.5,0.4,2.0,10.48
0.0,0.1,0.5,0.4,4.0,20.96
0.0,0.1,0.55,0.35,0.25,1.254
0.0,0.1,0.55,0.35,0.5,2.507
0.0,0.1,0.55,0.35,1.0,5.015
0.0,0.1,0.55,0.35,2.0,10.029
0.0,0.1,0.55,0.35,4.0,20.059
0.0,0.1,0.6,0.3,0.25,1.161
0.0,0.1,0.6,0.3,0.5,2.322
0.0,0.1,0.6,0.3,1.0,4.644
0.0,0.1,0.6,0.3,2.0,9.288
0.0,0.1,0.6,0.3,4.0,18.576
0.0,0.1,0.65,0.25,0.25,1.034
0.0,0.1,0.65,0.25,0.5,2.068
0.0,0.1,0.65,0.25,1.0,4.136
0.0,0.1,0.65,0.25,2.0,8.271
0.0,0.1,0.65,0.25,4.0,16.542
0.0,0.1,0.7,0.2,0.25,0.875
0.0,0.1,0.7,0.2,0.5,1.75
0.0,0.1,0.7,0.2,1.0,3.5
0.0,0.1,0.7,0.2,2.0,7.0
0.0,0.1,0.7,0.2,4.0,14.0
0.0,0.1,0.75,0.15,0.25,0.688
0.0,0.1,0.75,0.15,0.5,1.375
0.0,0.1,0.75,0.15,1.0,2.751
0.0,0.1,0.75,0.15,2.0,5.501
0.0,0.1,0.75,0.15,4.0,11.003
0.0,0.1,0.8,0.1,0.25,0.476
0.0,0.1,0.8,0.1,0.5,0.952
0.0,0.1,0.8,0.1,1.0,1.904
0.0,0.1,0.8,0.1,2.0,3.808
0.0,0.1,0.8,0.1,4.0,7.616
0.0,0.1,0.85,0.05,0.25,0.245
0.0,0.1,0.85,0.05,0.5,0.49
0.0,0.1,0.85,0.05,1.0,0.98
0.0,0.1,0.85,0.05,2.0,1.959
0.0,0.1,0.85,0.05,4.0,3.919
0.0,0.1,0.9,0.0,0.25,0.0
0.0,0.1,0.9,0.0,0.5,0.0
0.0,0.1,0.9,0.0,1.0,0.0
0.0,0.1,0.9,0.0,2.0,0.0
0.0,0.1,0.9,0.0,4.0,0.0
0.0,0.15,0.0,0.85,0.25,0.0
0.0,0.15,0.0,0.85,0.5,0.0
0.0,0.15,0.0,0.85,1.0,0.0
0.0,0.15,0.0,0.85,2.0,0.0
0.0,0.15,0.0,0.85,4.0,0.0
0.0,0.15,0.05,0.8,0.25,0.243
0.0,0.15,0.05,0.8,0.5,0.485
0.0,0.15,0.05,0.8,1.0,0.97
0.0,0.15,0.05,0.8,2.0,1.94
0.0,0.15,0.05,0.8,4.0,3.88
0.0,0.15,0.1,0.75,0.25,0.468
0.0,0.15,0.1,0.75,0.5,0.936
0.0,0.15,0.1,0.75,1.0,1.871
0.0,0.15,0.1,0.75,2.0,3.743
0.0,0.15,0.1,0.75,4.0,7.485
0.0,0.15,0.15,0.7,0.25,0.671
0.0,0.15,0.15,0.7,0.5,1.341
0.0,0.15,0.15,0.7,1.0,2.683
0.0,0.15,0.15,0.7,2.0,5.366
0.0,0.15,0.15,0.7,4.0,10.731
0.0,0.15,0.2,0.65,0.25,0.847
0.0,0.15,0.2,0.65,0.5,1.693
0.0,0.15,0.2,0.65,1.0,3.387
0.0,0.15,0.2,0.65,2.0,6.773
0.0,0.15,0.2,0.65,4.0,13.546
0.0,0.15,0.25,0.6,0.25,0.992
0.0,0.15,0.25,0.6,0.5,1.984
0.0,0.15,0.25,0.6,1.0,3.968
0.0,0.15,0.25,0.6,2.0,7.935
0.0,0.15,0.25,0.6,4.0,15.87
0.0,0.15,0.3,0.55,0.25,1.103
0.0,0.15,0.3,0.55,0.5,2.207
0.0,0.15,0.3,0.55,1.0,4.414
0.0,0.15,0.3,0.55,2.0,8.828
0.0,0.15,0.3,0.55,4.0,17.655
0.0,0.15,0.35,0.5,0.25,1.179
0.0,0.15,0.35,0.5,0.5,2.358
0.0,0.15,0.35,0.5,1.0,4.716
0.0,0.15,0.35,0.5,2.0,9.433
0.0,0.15,0.35,0.5,4.0,18.865
0.0,0.15,0.4,0.45,0.25,1.217
0.0,0.15,0.4,0.45,0.5,2.435
0.0,0.15,0.4,0.45,1.0,4.869
0.0,0.15,0.4,0.45,2.0,9.738
0.0,0.15,0.4,0.45,4.0,19.476
0.0,0.15,0.45,0.4,0.25,1.217
0.0,0.15,0.45,0.4,0.5,2.435
0.0,0.15,0.45,0.4,1.0,4.869
0.0,0.15,0.45,0.4,2.0,9.738
0.0,0.15,0.45,0.4,4.0,19.476
0.0,0.15,0.5,0.35,0.25,1.179
0.0,0.15,0.5,0.35,0.5,2.358
0.0,0.15,0.5,0.35,1.0,4.716
0.0,0.15,0.5,0.35,2.0,9.433
0.0,0.15,0.5,0.35,4.0,18.865
0.0,0.15,0.55,0.3,0.25,1.103
0.0,0.15,0.55,0.3,0.5,2.207
0.0,0.15,0.55,0.3,1.0,4.414
0.0,0.15,0.55,0.3,2.0,8.828
0.0,0.15,0.55,0.3,4.0,17.655
0.0,0.15,0.6,0.25,0.25,0.992
0.0,0.15,0.6,0.25,0.5,1.984
0.0,0.15,0.6,0.25,1.0,3.968
0.0,0.15,0.6,0.25,2.0,7.935
0.0,0.15,0.6,0.25,4.0,15.87
0.0,0.15,0.65,0.2,0.25,0.847
0.0,0.15,0.65,0.2,0.5,1.693
0.0,0.15,0.65,0.2,1.0,3.387
0.0,0.15,0.65,0.2,2.0,6.773
0.0,0.15,0.65,0.2,4.0,13.546
0.0,0.15,0.7,0.15,0.25,0.671
0.0,0.15,0.7,0.15,0.5,1.341
0.0,0.15,0.7,0.15,1.0,2.683
0.0,0.15,0.7,0.15,2.0,5.366
0.0,0.15,0.7,0.15,4.0,10.731
0.0,0.15,0.75,0.1,0.25,0.468
0.0,0.15,0.75,0.1,0.5,0.936
0.0,0.15,0.75,0.1,1.0,1.871
0.0,0.15,0.75,0.1,2.0,3.743
0.0,0.15,0.75,0.1,4.0,7.485
0.0,0.15,0.8,0.05,0.25,0.243
0.0,0.15,0.8,0.05,0.5,0.485
0.0,0.15,0.8,0.05,1.0,0.97
0.0,0.15,0.8,0.05,2.0,1.94
0.0,0.15,0.8,0.05,4.0,3.88
0.0,0.15,0.85,0.0,0.25,0.0
0.0,0.15,0.85,0.0,0.5,0.0
0.0,0.15,0.85,0.0,1.0,0.0
0.0,0.15,0.85,0.0,2.0,0.0
0.0,0.15,0.85,0.0,4.0,0.0
0.0,0.2,0.0,0.8,0.25,0.0
0.0,0.2,0.0,0.8,0.5,0.0
0.0,0.2,0.0,0.8,1.0,0.0
0.0,0.2,0.0,0.8,2.0,0.0
0.0,0.2,0.0,0.8,4.0,0.0
0.0,0.2,0.05,0.75,0.25,0.24
0.0,0.2,0.05,0.75,0.5,0.479
0.0,0.2,0.05,0.75,1.0,0.958
0.0,0.2,0.05,0.75,2.0,1.916
0.0,0.2,0.05,0.75,4.0,3.833
0.0,0.2,0.1,0.7,0.25,0.459
0.0,0.2,0.1,0.7,0.5,0.917
0.0,0.2,0.1,0.7,1.0,1.834
0.0,0.2,0.1,0.7,2.0,3.668
0.0,0.2,0.1,0.7,4.0,7.336
0.0,0.2,0.15,0.65,0.25,0.652
0.0,0.2,0.15,0.65,0.5,1.304
0.0,0.2,0.15,0.65,1.0,2.608
0.0,0.2,0.15,0.65,2.0,5.216
0.0,0.2,0.15,0.65,4.0,10.433
0.0,0.2,0.2,0.6,0.25,0.816
0.0,0.2,0.2,0.6,0.5,1.632
0.0,0.2,0.2,0.6,1.0,3.264
0.0,0.2,0.2,0.6,2.0,6.528
0.0,0.2,0.2,0.6,4.0,13.056
0.0,0.2,0.25,0.55,0.25,0.947
0.0,0.2,0.25,0.55,0.5,1.894
0.0,0.2,0.25,0.55,1.0,3.788
0.0,0.2,0.25,0.55,2.0,7.576
0.0,0.2,0.25,0.55,4.0,15.153
0.0,0.2,0.3,0.5,0.25,1.043
0.0,0.2,0.3,0.5,0.5,2.085
0.0,0.2,0.3,0.5,1.0,4.17
0.0,0.2,0.3,0.5,2.0,8.34
0.0,0.2,0.3,0.5,4.0,16.68
0.0,0.2,0.35,0.45,0.25,1.101
0.0,0.2,0.35,0.45,0.5,2.201
0.0,0.2,0.35,0.45,1.0,4.402
0.0,0.2,0.35,0.45,2.0,8.804
0.0,0.2,0.35,0.45,4.0,17.609
0.0,0.2,0.4,0.4,0.25,1.12
0.0,0.2,0.4,0.4,0.5,2.24
0.0,0.2,0.4,0.4,1.0,4.48
0.0,0.2,0.4,0.4,2.0,8.96
0.0,0.2,0.4,0.4,4.0,17.92
0.0,0.2,0.45,0.35,0.25,1.101
0.0,0.2,0.45,0.35,0.5,2.201
0.0,0.2,0.45,0.35,1.0,4.402
0.0,0.2,0.45,0.35,2.0,8.804
0.0,0.2,0.45,0.35,4.0,17.609
0.0,0.2,0.5,0.3,0.25,1.043
0.0,0.2,0.5,0.3,0.5,2.085
0.0,0.2,0.5,0.3,1.0,4.17
0.0,0.2,0.5,0.3,2.0,8.34
0.0,0.2,0.5,0.3,4.0,16.68
0.0,0.2,0.55,0.25,0.25,0.947
0.0,0.2,0.55,0.25,0.5,1.894
0.0,0.2,0.55,0.25,1.0,3.788
0.0,0.2,0.55,0.25,2.0,7.576
0.0,0.2,0.55,0.25,4.0,15.153
0.0,0.2,0.6,0.2,0.25,0.816
0.0,0.2,0.6,0.2,0.5,1.632
0.0,0.2,0.6,0.2,1.0,3.264
0.0,0.2,0.6,0.2,2.0,6.528
0.0,0.2,0.6,0.2,4.0,13.056
0.0,0.2,0.65,0.15,0.25,0.652
0.0,0.2,0.65,0.15,0.5,1.304
0.0,0.2,0.65,0.15,1.0,2.608
0.0,0.2,0.65,0.15,2.0,5.216
0.0,0.2,0.65,0.15,4.0,10.433
0.0,0.2,0.7,0.1,0.25,0.458
0.0,0.2,0.7,0.1,0.5,0.917
0.0,0.2,0.7,0.1,1.0,1.834
0.0,0.2,0.7,0.1,2.0,3.668
0.0,0.2,0.7,0.1,4.0,7.336
0.0,0.2,0.75,0.05,0.25,0.24
0.0,0.2,0.75,0.05,0.5,0.479
0.0,0.2,0.75,0.05,1.0,0.958
0.0,0.2,0.75,0.05,2.0,1.916
0.0,0.2,0.75,0.05,4.0,3.833
0.0,0.2,0.8,0.0,0.25,0.0
0.0,0.2,0.8,0.0,0.5,0.0
0.0,0.2,0.8,0.0,1.0,0.0
0.0,0.2,0.8,0.0,2.0,0.0
0.0,0.2,0.8,0.0,4.0,0.0
0.0,0.25,0.0,0.75,0.25,0.0
0.0,0.25,0.0,0.75,0.5,0.0
0.0,0.25,0.0,0.75,1.0,0.0
0.0,0.25,0.0,0.75,2.0,0.0
0.0,0.25,0.0,0.75,4.0,0.0
0.0,0.25,0.05,0.7,0.25,0.236
0.0,0.25,0.05,0.7,0.5,0.472
0.0,0.25,0.05,0.7,1.0,0.943
0.0,0.25,0.05,0.7,2.0,1.887
0.0,0.25,0.05,0.7,4.0,3.773
0.0,0.25,0.1,0.65,0.25,0.448
0.0,0.25,0.1,0.65,0.5,0.895
0.0,0.25,0.1,0.65,1.0,1.791
0.0,0.25,0.1,0.65,2.0,3.582
0.0,0.25,0.1,0.65,4.0,7.163
0.0,0.25,0.15,0.6,0.25,0.631
0.0,0.25,0.15,0.6,0.5,1.262
0.0,0.25,0.15,0.6,1.0,2.525
0.0,0.25,0.15,0.6,2.0,5.049
0.0,0.25,0.15,0.6,4.0,10.098
0.0,0.25,0.2,0.55,0.25,0.782
0.0,0.25,0.2,0.55,0.5,1.565
0.0,0.25,0.2,0.55,1.0,3.13
0.0,0.25,0.2,0.55,2.0,6.259
0.0,0.25,0.2,0.55,4.0,12.518
0.0,0.25,0.25,0.5,0.25,0.898
0.0,0.25,0.25,0.5,0.5,1.797
0.0,0.25,0.25,0.5,1.0,3.594
0.0,0.25,0.25,0.5,2.0,7.188
0.0,0.25,0.25,0.5,4.0,14.375
0.0,0.25,0.3,0.45,0.25,0.977
0.0,0.25,0.3,0.45,0.5,1.954
0.0,0.25,0.3,0.45,1.0,3.908
0.0,0.25,0.3,0.45,2.0,7.817
0.0,0.25,0.3,0.45,4.0,15.633
0.0,0.25,0.35,0.4,0.25,1.017
0.0,0.25,0.35,0.4,0.5,2.034
0.0,0.25,0.35,0.4,1.0,4.067
0.0,0.25,0.35,0.4,2.0,8.134
0.0,0.25,0.35,0.4,4.0,16.268
0.0,0.25,0.4,0.35,0.25,1.017
0.0,0.25,0.4,0.35,0.5,2.034
0.0,0.25,0.4,0.35,1.0,4.067
0.0,0.25,0.4,0.35,2.0,8.134
0.0,0.25,0.4,0.35,4.0,16.268
0.0,0.25,0.45,0.3,0.25,0.977
0.0,0.25,0.45,0.3,0.5,1.954
0.0,0.25,0.45,0.3,1.0,3.908
0.0,0.25,0.45,0.3,2.0,7.817
0.0,0.25,0.45,0.3,4.0,15.633
0.0,0.25,0.5,0.25,0.25,0.898
0.0,0.25,0.5,0.25,0.5,1.797
0.0,0.25,0.5,0.25,1.0,3.594
0.0,0.25,0.5,0.25,2.0,7.188
0.0,0.25,0.5,0.25,4.0,14.375
0.0,0.25,0.55,0.2,0.25,0.782
0.0,0.25,0.55,0.2,0.5,1.565
0.0,0.25,0.55,0.2,1.0,3.13
0.0,0.25,0.55,0.2,2.0,6.259
0.0,0.25,0.55,0.2,4.0,12.518
0.0,0.25,0.6,0.15,0.25,0.631
0.0,0.25,0.6,0.15,0.5,1.262
0.0,0.25,0.6,0.15,1.0,2.525
0.0,0.25,0.6,0.15,2.0,5.049
0.0,0.25,0.6,0.15,4.0,10.098
0.0,0.25,0.65,0.1,0.25,0.448
0.0,0.25,0.65,0.1,0.5,0.895
0.0,0.25,0.65,0.1,1.0,1.791
0.0,0.25,0.65,0.1,2.0,3.582
0.0,0.25,0.65,0.1,4.0,7.163
0.0,0.25,0.7,0.05,0.25,0.236
